"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
t1fstr2,day_1_monday_daily_survey,,radio,"<font size=""5.5"">2. Explaining the use of products <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span></font>

<font size=""5.5""><font color=""green"">Explicando el uso de productos <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr3,day_1_monday_daily_survey,,radio,"<font size=""5.5"">3. Entertainment (television shows, movies, music) <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span></font>

<font size=""5.5""><font color=""green"">Entretenimiento (programas de televisión, películas y música) <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr4,day_1_monday_daily_survey,,radio,"<font size=""5.5"">4. Use of technology (computer, Internet, smartphone, tablet) <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span></font>

<font size=""5.5""><font color=""green"">Uso de tecnología (computadora, Internet, celular, tableta) <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr5,day_1_monday_daily_survey,,radio,"<font size=""5.5"">5. Receipts, prices, or other things at a store <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span></font>

<font size=""5.5""><font color=""green"">Recibos de pago, precios u otras cosas en una tienda <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr6,day_1_monday_daily_survey,,radio,"<font size=""5.5"">6. Explaining work notices, manuals, or instructions for your <font color=""blue"">father's</font> job 

<font color=""green"">Explicando avisos del trabajo, manuales, o instrucciones para el trabajo de tu <font color=""blue"">padre</font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr7,day_1_monday_daily_survey,,radio,"<font size=""5.5"">7. Filling out applications (for job, housing, insurance) <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span>

<font color=""green"">Llenando solicitudes (de trabajo, estancia, seguro) <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr8,day_1_monday_daily_survey,,radio,"<font size=""5.5"">8. Filling out government documents or other legal documents <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span>

<font color=""green""> Llenando documentos del gobierno u otros documentos legales <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr9,day_1_monday_daily_survey,,radio,"<font size=""5.5"">9. Bills (telephone, gas, water, or electricity) <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span>

<font color=""green""> Facturas (recibos de teléfono, gas, agua, o electricidad) <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr10,day_1_monday_daily_survey,,radio,"<font size=""5.5"">10. In-person conversations <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span>

<font color=""green"">Conversaciones en persona <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1fstr11,day_1_monday_daily_survey,,radio,"<font size=""5.5"">11. Signs or directions <span style=""font-weight:normal;"">(for your <font color=""blue"">father</font>)</span>

<font color=""green"">Letreros o direcciones <span style=""font-weight:normal;"">(para tu <font color=""blue"">padre</font>)</span></font></font>","1, <font size=""4.5""> 1 I didn't translate this for my father today<br><font color=""green"">No traduje esto para mi padre hoy</font> | 2, <font size=""4.5""> 2 Not stressful<br><font color=""green"">Nada estresante</font> | 3, <font size=""4.5""> 3 A little stressful<br><font color=""green"">Un poco estresante</font> | 4, <font size=""4.5"">4 Somewhat stressful<br><font color=""green"">Algo estresante</font> | 5, <font size=""4.5""> 5 Very stressful<br><font color=""green"">Muy estresante</font> | 6, <font size=""4.5""> 6 Extremely stressful <br><font color=""green"">Extremadamente estresante</font>",,,,,,,,,,,,
t1s2qag,day_1_monday_daily_survey,"<font size=""5.5""><center>Section 2A/<font color=""green"">Sección 2A</font>
</center></font>",descriptive,"<font size=""5.5"">How much do you agree with the following statements about translating from English to Spanish for your <font color=""red"">mother</font> today?

<font color=""green"">¿Qué tan de acuerdo estás con las siguientes declaraciones sobre traducir del inglés al español para tu <font color=""red"">madre</font> el día de hoy?</font></font>",,,,,,,,,,,,,
t1mag01,day_1_monday_daily_survey,,radio,"<font size=""5.5"">1. When I translated for my <font color=""red"">mother</font> today, it strengthened my Spanish skills

<font color=""green"">Cuando traduje para mi <font color=""red"">madre</font> el día de hoy, fortalecí mis habilidades en español</font></font>","0, <font size=""4.5"">  0 I didn't translate for my mother today<br><font color=""green"">No traduje para mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br></font> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br></font> | 3, <font size=""4.5"">3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br></font> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br></font> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br></font>",,,,,,,,RH,,,,
t1mag02,day_1_monday_daily_survey,,radio,"<font size =""5.5"">2. When I translated for my <font color=""red"">mother</font> today, it strengthened my English skills

<font color=""green"">Cuando traduje para mi <font color=""red"">madre</font> el día de hoy, fortalecí mis habilidades en inglés</font></font>","0, <font size=""4.5"">  0 I didn't translate for my mother today<br><font color=""green"">No traduje para mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br></font> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br></font> | 3, <font size=""4.5"">3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br></font> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br></font> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br></font>",,,,,,,,RH,,,,
t1mag03,day_1_monday_daily_survey,,radio,"<font size =""5.5"">3. I felt independent and mature when I translated for my <font color=""red"">mother</font> today

<font color=""green"">Me sentí independiente y maduro/a cuando traduje para mi <font color=""red"">madre</font> el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my mother today<br><font color=""green"">No traduje para mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br></font> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br></font> | 3, <font size=""4.5"">3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br></font> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br></font> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br></font>",,,,,,,,RH,,,,
t1mag04,day_1_monday_daily_survey,,radio,"<font size=""5.5"">4. I felt useful <span style=""font-weight:normal;"">(<i>that my help was necessary</i>)</span> because I translated for my <font color=""red"">mother</font> today

<font color=""green"">Me sentí útil <span style=""font-weight:normal;"">(<i>que mi ayuda fue necesaria</i>)</span> porque traduje para mi <font color=""red"">madre</font> el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my mother today<br><font color=""green"">No traduje para mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br></font> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br></font> | 3, <font size=""4.5"">3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br></font> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br></font> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br></font>",,,,,,,,RH,,,,
t1mag05,day_1_monday_daily_survey,,radio,"<font size=""5.5"">5. I was in situations where I put into practice my social skills <span style=""font-weight:normal;"">(<i>interactions with others</i>)</span> because I translated for my <font color=""red"">mother</font> today

<font color=""green"">Me encontré en situaciones donde practiqué mis habilidades sociales <span style=""font-weight:normal;"">(<i>interacciones con otros</i>)</span> porque traduje para mi <font color=""red"">madre</font> el día de hoy</font></font>","0, <font size=""4.5"">  0 I didn't translate for my mother today<br><font color=""green"">No traduje para mi madre hoy</font><br></font> | 1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font><br></font> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font><br></font> | 3, <font size=""4.5"">3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font><br></font> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font><br></font> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font><br></font>",,,,,,,,RH,,,,
